"Country","Region","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","BMI","Incidents_HIV","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Life_expectancy"
"Cote d'Ivoire","Africa",91.6,136.7,468.8655,4.56,22.8,3.2,17.23,7.7,7.7,3.4,49.5
"Antigua and Barbuda","Central America and Caribbean",7.5,9,134.3515,8.22,26.3,0.2,0.09,3.3,3.3,9.2,76.1
"Bangladesh","Asia",63.1,86,170.133,0.005,20.2,0.01,127.66,2.9,21.5,4.1,65.4
"Iraq","Middle East",30.3,37.1,183.7195,0.17,27.8,0.13,28.39,5.4,5.1,6.2,68.2
"Fiji","Oceania",19,22.4,217.6345,2.27,26.4,0.03,0.82,4.2,3.9,9.4,66
"Comoros","Africa",71,98.5,264.3325,0.27,23.2,0.02,0.6,7.5,7.5,2.8,59.9
"Mexico","North America",16.4,19.2,117.679,4.05,27.5,0.16,114.09,1.6,1.6,8,75.1
"Uzbekistan","Asia",43,50.4,185.611,2.92,25.1,0.05,25.57,3.3,3.3,9.5,67.9
"Peru","South America",23.5,30.4,146.326,4.59,25.3,0.19,27.37,1.3,1.3,8.4,72.2
"Pakistan","Asia",72.8,90.9,175.0925,0.036,23.2,0.13,171.65,2.7,21.1,4.4,64.7
"Georgia","Rest of Europe",21,23.6,175.9835,4.36,26.3,0.07,3.9,2.8,2.9,12.1,70.5
"Myanmar","Asia",50.5,66.3,212.388,0.88,22,0.36,50.25,13.1,13.4,4,63.1
"Benin","Africa",83.3,133.7,285.318,1.39,22.2,0.98,7.08,9.5,9.4,2.6,55.7
"Iceland","Rest of Europe",2.4,3,58.3265,7.53,25.9,0.04,0.31,0.9,0.9,10.3,81.5
"Lithuania","European Union",7.6,9.5,205.7495,11.29,26.1,0.05,3.42,3.2,3.2,11.3,72.1
"Iran, Islamic Rep.","Middle East",13.3,15.5,81.8615,0.01,26.1,0.04,78.49,8.5,8.6,9.8,75.8
"Samoa","Oceania",16.6,19.3,129.0575,2.96,31.5,0.17,0.19,0.2,0.2,10,71.7
"Poland","European Union",4.2,4.9,113.669,10.47,26.6,0.08,37.99,1.9,2,12.1,77.5
"Grenada","Central America and Caribbean",13.3,15.3,148.2515,7.68,26.5,0.4,0.11,3.8,3.8,8.4,72.8
"Moldova","Rest of Europe",14.5,16.8,186.748,8.21,26.7,0.41,2.86,2.8,3,11.1,70.1
"Australia","Oceania",3.8,4.5,62.175,10.3,27,0.05,22.34,0.6,0.6,12.5,81.9
"Indonesia","Asia",24.1,28.8,177.417,0.09,22.9,0.17,255.13,1.4,1.2,7.8,70.5
"Israel","Middle East",5.2,6.4,76.0535,2.79,26.3,0.08,6.57,1.1,1.1,12.1,79.5
"Oman","Middle East",10.7,12.5,108.355,0.54,25.7,0.05,2.58,7,6.8,7,74.6
"Italy","European Union",3,3.5,52.9595,7.14,25.6,0.06,60.73,0.6,0.6,10.2,82.5
"Cuba","Central America and Caribbean",4.5,5.7,89.2395,4.65,25.6,0.16,11.32,3.5,3.3,11.4,78.6
"Lesotho","Africa",73.6,104.2,558.8015,2.92,24.6,13.42,1.99,7.6,7.4,5.9,44.1
"Gabon","Africa",45.2,69.2,305.7035,8.65,24.5,2.26,1.47,6.9,6.8,7.2,59.2
"Kyrgyz Republic","Asia",34.1,39.2,222.2305,6.52,25.2,0.1,5.16,3.4,3.4,10.2,68
"Mali","Africa",78.8,135.1,287.6995,0.57,22.5,0.56,14.58,9,8.8,1.9,54.8
"Senegal","Africa",65.2,122.9,250.9235,0.24,22.2,0.67,10.04,12.1,12.1,2.3,58.2
"Cambodia","Asia",34.6,40.5,190.6065,2.4,21.7,0.13,14.54,11,11.2,4.4,67
"Libya","Africa",15.1,17.6,133.9065,0.014,27.5,0.09,6.13,5.6,5.4,7.1,72.1
"Tajikistan","Asia",67.6,83.6,178.7895,0.81,24.1,0.01,6.22,4.2,4.1,10.6,62
"Lao PDR","Asia",49.7,65.1,212.1825,6.3,22.3,0.17,6.35,9.2,9.4,4.8,64.8
"Japan","Asia",2.5,3.4,64.0215,7.06,22.6,0.17,128.06,1.8,1.5,11.4,82.6
"Togo","Africa",56.7,86.2,291.222,1.12,23.2,0.97,6.6,7.1,7,4.4,58.1
"Albania","Rest of Europe",19.1,21.5,85.3885,4.42,25.5,0.02,3.03,1.8,1.9,9.1,75
"Cabo Verde","Africa",23.4,27.9,137.01,4.36,23.9,0.3,0.47,8.3,8.3,4.5,70.6
"Burundi","Africa",50.7,75.5,302.3265,3.98,21.5,0.34,9.54,7.4,7.4,2.8,59.1
"Burundi","Africa",88.9,143.8,356.206,6.51,20.8,1.23,6.7,8.7,8.7,2,50.8
"Seychelles","Africa",12.1,14.1,155.754,5.54,26.2,3.5,0.09,5.8,6.2,8.1,73.2
"Kenya","Africa",36.4,50.6,228.7625,1.45,23.2,1.36,46.7,7.8,7.7,6.3,64.1
"Peru","South America",12.2,15.7,124.07,5.68,26.5,0.13,30.47,1.1,1.1,9.1,75.8
"Iraq","Middle East",27.9,33.8,172.0465,0.18,28.1,0.13,30.73,5.3,5.1,6.6,68.8
"Vanuatu","Oceania",23.6,28.2,131.2085,1.42,26.1,0.17,0.27,1.5,1.4,6.8,69.9
"Equatorial Guinea","Africa",84.5,119.7,334.523,7.71,23.4,4.23,0.86,9.3,9.3,5.4,55.1
"Azerbaijan","Asia",60.9,74.4,169.5265,0.66,25.6,0.12,8.05,3.2,3.1,10.6,66.8
"Georgia","Rest of Europe",19,21.3,178.319,5.69,26.4,0.08,3.88,2.7,2.9,12.1,70.6
"Belgium","European Union",4.2,5.1,89.671,12.05,25.7,0.08,10.42,0.8,0.8,10.5,78.9
"Antigua and Barbuda","Central America and Caribbean",9.2,11.1,141.2655,8.41,25.9,0.1,0.09,3.4,3.3,9.3,75.5
"Eritrea","Africa",40.2,57.1,297.051,0.85,20.5,0.28,3.12,9,8.9,3.8,61.6
"Chad","Africa",82.3,143.7,376.7435,0.6,21.7,0.56,12.36,9.2,9.1,2,51.4
"Panama","Central America and Caribbean",15.1,17.6,116.233,6.3,26.8,0.4,3.9,1.9,1.8,9.9,77.6
"Honduras","Central America and Caribbean",19.1,22.4,152.2485,2.71,26.2,0.08,8.48,2.2,2.2,5.6,73.6
"Yemen, Rep.","Middle East",46.4,60.1,238.1945,0.028,23.2,0.03,22.52,13.8,13.7,2.5,65.3
"Guatemala","Central America and Caribbean",39.5,50.1,204.092,2.41,25.1,0.4,11.87,1.5,1.5,3.8,68.3
"Yemen, Rep.","Middle East",62.8,85.7,249.828,0.07,22.5,0.02,18.44,14,14,1.5,61.8
"Ecuador","South America",19.9,23.5,146.204,3.9,25.9,0.18,13.83,1.4,1.3,7.3,74.1
"Cyprus","European Union",3.3,3.9,61.604,11.58,26.7,0.05,1.06,0.9,1,11.2,78.9
"Haiti","Central America and Caribbean",55.3,73.7,249.5855,2.85,25,0.76,10.4,3.9,3.9,5,61.7
"Albania","Rest of Europe",12.9,14.5,81.5235,5.79,26,0.03,2.93,1.5,1.6,9.3,76.2
"Thailand","Asia",12.2,14.2,163.0875,6.74,23.7,0.25,66.87,8.3,8.5,7.5,73.8
"Thailand","Asia",14.1,16.4,174.1335,6.1,23.4,0.33,65.81,8.7,8.9,7,72.5
"Mexico","North America",22.8,27.1,127.9115,5.02,26.8,0.15,100.3,1.9,1.9,6.8,74.7
"Somalia","Africa",104.4,172.6,340.636,0,22.5,0.13,10.45,7.5,7.3,2.1,52.3
"Bosnia and Herzegovina","Rest of Europe",7.5,8.6,108.5945,4.72,25.1,0.08,3.77,2.9,2.8,7.4,75.3
"Rwanda","Africa",65.5,105.4,340.5175,9.25,21.3,2.07,8.84,6.8,7,2.8,55.3
"Switzerland","Rest of Europe",4.5,5.3,70.293,10.82,24.9,0.1,7.34,0.6,0.5,11.8,80.5
"Paraguay","South America",25,30,160.709,5.51,25.5,0.17,5.82,2.3,2.2,7.3,71.7
"Moldova","Rest of Europe",21.7,25.8,236.105,5.84,26,0.28,2.91,3.4,3.6,9.6,67.4
"Belize","Central America and Caribbean",17.6,20.6,184.704,6.28,28,1.05,0.29,3.6,3.5,10.3,70.3
"Congo, Rep.","Africa",46.9,69,331.725,1.3,22.7,2.07,4.01,8.4,8,6,58.5
"Central African Republic","Africa",109.9,168.9,531.4845,1.68,21.5,4.38,3.64,1.5,1.5,2.9,44.2
"Czechia","European Union",3.6,4.4,112.1435,13.66,26.6,0.08,10.21,2.1,2.1,11.9,75.9
"Cambodia","Asia",27.3,31.8,175.654,3.34,22.1,0.1,15.52,1.9,1.9,4.7,68.6
"Vietnam","Asia",19.9,24.9,135.885,1.19,20.4,0.24,83.83,15.3,16,6.4,74.1
"Slovak Republic","European Union",7.9,9.4,146.314,11.12,25.5,0.01,5.38,1.5,1.6,10.1,73.4
"Georgia","Rest of Europe",10.8,12.1,164.177,7.23,27.1,0.13,3.73,2.6,2.8,12.5,72.1
"Hungary","European Union",4.2,5.1,131.7765,10.95,27.2,0.08,9.84,1.6,1.6,11.8,75.6
"Brunei Darussalam","Asia",8.4,10.2,90.6615,0.69,26.8,0.1,0.4,5.8,5.2,8.9,75.1
"Sierra Leone","Africa",110.6,167.7,432.5825,3.98,22.6,1.17,6.27,8.5,8.4,3,48.5
"Guinea-Bissau","Africa",66.8,104.2,281.847,3,23.2,2.03,1.6,7.7,7.5,2.8,55.6
"Luxembourg","European Union",2.3,2.8,74.016,11.84,26.1,0.1,0.51,0.9,0.9,11.8,80.6
"Costa Rica","Central America and Caribbean",8.2,9.6,88.8035,3.02,27.1,0.19,4.74,1.7,1.7,8.5,79.2
"Russian Federation","Rest of Europe",8.6,10.7,254.149,11.25,26.1,0.08,142.79,2.3,2.5,11.5,68.7
"Timor-Leste","Oceania",49.4,58.8,160.701,0.44,20.8,0.08,1.11,11.3,11.4,4.5,67.5
"Philippines","Asia",23.9,30.5,202.9915,4.61,22.9,0.07,98.87,1,9.7,9.1,70.3
"Mauritania","Africa",65,103.7,218,0.022,24.4,0.28,3.2,9.4,9.1,3.5,61.8
"Bulgaria","European Union",8.7,10.4,139.9065,9.88,26.1,0.03,7.35,2,2,10.7,74.2
"Greece","European Union",4,4.6,79.077,9.15,26.9,0.05,10.99,0.8,0.7,9.8,79.2
"Angola","Africa",100.9,166.1,318.546,3.49,22.3,1.49,19.43,1,9.9,4.4,50.2
"Ireland","European Union",3.3,3.8,62.447,10.88,27.3,0.07,4.66,0.3,0.2,12.3,81.3
"Vietnam","Asia",17.9,22.4,128.8585,2.57,21.3,0.14,89.8,14.4,15,7.8,75
"Micronesia, Fed. Sts.","Oceania",25.6,30.7,167.636,1.6,29.5,0.17,0.11,0.2,0.2,8,67
"Guyana","South America",28.8,35,212.365,5.72,26.1,0.58,0.76,5.5,5.3,8.3,68.8
"Iceland","Rest of Europe",2.2,2.7,53.441,6.79,26,0.05,0.32,0.9,0.9,10.6,81.9
"Italy","European Union",3.3,3.9,56.2325,6.98,25.7,0.08,59.38,0.5,0.5,9.8,82.2
"Rwanda","Africa",35.7,49.7,209.3335,6.5,21.9,0.66,11.08,5.8,5.8,4,66.9
"Congo, Dem. Rep.","Africa",90.4,126.7,297.835,2.91,21.3,0.68,58.45,11.1,1.9,4.8,55.1
"Zimbabwe","Africa",53.4,95,653.918,2.35,23.5,8.78,12.16,8.6,8.6,6.8,43.9
"India","Asia",55.7,74.4,207.188,1.25,21,0.16,1147.61,27.2,28.1,4.8,64.5
"Denmark","European Union",4,4.8,92.1215,11.02,25.2,0.04,5.44,1.2,0.9,12.8,78.1
"Kuwait","Middle East",9.4,10.9,74.978,0.032,28.9,0.13,2.66,3.3,3.1,6.5,74
"Honduras","Central America and Caribbean",17.7,20.7,149.23,2.7,26.4,0.07,8.8,2.2,2.1,5.8,74.1
"Liberia","Africa",97.2,139.8,319.556,4.25,23.3,3.5,3.14,8.5,8.5,3.7,54.4
"Singapore","Asia",2.3,2.8,62.236,1.69,23.5,0.12,4.84,2.1,2.1,10.5,80.8
"Azerbaijan","Asia",36.8,42.7,139.7585,1.12,26.2,0.12,8.76,2.8,2.9,10.2,70.2
"Burkina Faso","Africa",66.3,116.9,276.3855,5.32,21.9,0.28,16.08,8.8,8.4,1.4,57.8
"Liberia","Africa",104.3,151.3,332.2065,4.23,23.2,3.5,3.08,8.7,8.7,3.7,53.6
"Gabon","Africa",43.9,66.7,295.939,8.31,24.6,2.15,1.52,6.8,6.6,7.3,59.9
"Vietnam","Asia",17.6,22,125.984,2.78,21.6,0.12,91.71,14.3,14.7,7.8,75.1
"Kuwait","Middle East",9.2,10.7,71.642,0.1,29,0.13,2.82,3.3,3.2,6.6,74.2
"Trinidad and Tobago","Central America and Caribbean",17.8,19.9,169.9695,5.9,27.4,0.4,1.36,5.8,6,10.8,72.8
"El Salvador","Central America and Caribbean",15.1,17.6,190.07,2.41,27.3,0.2,6.24,1.6,1.6,6.7,71.7
"Singapore","Asia",2.3,2.8,60.491,1.73,23.5,0.12,4.99,2.1,2.1,10.5,81.2
"Uganda","Africa",54.5,86.8,384.1585,11.37,21.8,3.44,30.43,6.2,6.2,5.2,55
"Hungary","European Union",5.1,6,156.927,10.7,26.8,0.08,10,1.8,1.8,11.9,74.2
"Iran, Islamic Rep.","Middle East",15,17.5,86.748,0.02,25.9,0.05,75.54,8,8.2,9.5,74.8
"Albania","Rest of Europe",10,11.2,79.762,4.43,26.3,0.03,2.9,1.3,1.4,9.6,77.3
"Cuba","Central America and Caribbean",5.7,7.2,99.5345,4.17,25,0.14,11.26,3.4,3.2,10.1,77.9
"Papua New Guinea","Oceania",50.4,66.2,255.71,0.55,24.5,0.61,6.35,1.5,1.4,3.5,60.2
"Grenada","Central America and Caribbean",12.7,14.7,157.714,9.04,26.2,0.4,0.11,3.8,3.9,8.1,73
"Venezuela, RB","South America",15.4,18,143.0785,6.6,26.6,0.4,30.04,1.6,1.5,10,72.8
"Bahamas, The","Central America and Caribbean",14.3,16.7,182.864,10.59,27,0.75,0.31,2.6,2.5,10.9,72
"Romania","European Union",17.3,20.5,176.1925,12.07,24.9,0.05,22.13,3.8,4.2,9.7,71.2
"Bhutan","Asia",57.5,77.2,291.8915,1.66,22.2,0.21,0.59,19.2,19.9,2.3,60.9
"Peru","South America",22,28.3,144.121,4.54,25.4,0.19,27.62,1.3,1.3,8.6,72.6
"Slovenia","European Union",3.5,4.2,101.813,11.19,25.7,0.03,2,1.9,2,11.7,77.6
"Antigua and Barbuda","Central America and Caribbean",12.6,15.5,156.232,6.86,25.1,0.1,0.08,3.7,3.6,7,73.9
"Nepal","Asia",55.8,74.6,229.513,0.091,20.8,0.17,24.35,18.3,19,2.5,62.9
"Trinidad and Tobago","Central America and Caribbean",24.7,27.9,193.695,4.81,25.9,0.4,1.27,6.7,7.2,9.2,69.4
"Central African Republic","Africa",87.9,123.3,411.0745,0.9,22.8,1.12,4.49,8.2,8.2,4.2,50.9
"Uganda","Africa",57.9,92.8,398.626,10.77,21.7,3.56,29.49,6.3,6.3,4.8,53.9
"Oman","Middle East",12.5,14.5,122.173,0.53,25.5,0.05,2.33,7.1,6.8,5.9,73
"Norway","Rest of Europe",2.9,3.6,66.2655,6.75,26.3,0.03,4.77,0.7,0.7,12.7,80.6
"Mexico","North America",19.5,22.9,123.4585,5.03,27.2,0.15,106.01,1.8,1.7,7.6,75.3
"Senegal","Africa",40.7,62.1,206.2,0.21,22.8,0.16,13.03,1.2,1.1,2.4,64.9
"Lesotho","Africa",70.2,92.7,527.8865,2.47,24.8,11.57,2.01,6.4,6.2,5.9,47.4
"Uruguay","South America",13.2,15.1,118.88,5.88,26.2,0.18,3.32,1.7,1.6,8,75.6
"Pakistan","Asia",70.1,87.1,169.1665,0.04,23.4,0.13,179.42,2.2,2.7,4.7,65.3
"Russian Federation","Rest of Europe",7.6,9.4,220.997,9.77,26.2,0.08,143.51,2.3,2.3,11.8,70.6
"Ukraine","Rest of Europe",9.2,10.7,203.7885,8.54,26.4,0.26,45.59,2.4,2.4,11.3,70.9
"Liberia","Africa",119.7,176.6,330.7235,4.42,23.1,3.5,2.95,9,9,3.5,52.2
"Samoa","Oceania",16.5,19.2,124.37,2.1,31.6,0.17,0.19,0.2,0.1,10.2,71.9
"Bulgaria","European Union",7.3,8.7,139.2615,10.3,26.3,0.03,7.22,1.9,1.9,10.9,74.5
"Cote d'Ivoire","Africa",71,100.1,413.238,1.2,23.6,1,21.55,5.9,5.9,4.5,54.3
"Denmark","European Union",3.5,4.1,83.927,10.27,25.3,0.04,5.55,1.1,0.9,12.7,79.1
"Trinidad and Tobago","Central America and Caribbean",20.7,23.2,179.4475,5.93,26.9,0.4,1.32,6,6.4,10.7,71.7
"Switzerland","Rest of Europe",4.5,5.4,71.8885,10.85,24.9,0.1,7.28,0.6,0.5,11.7,80.4
"Togo","Africa",73.7,116.4,333.336,0.88,22.1,2.66,5.06,9.2,9.1,4,53.6
"Mali","Africa",98.8,181.1,323.509,0.6,21.6,0.99,11.27,1.8,1.7,1.3,48.8
"Colombia","South America",15.7,18.3,147.6795,4.22,25.7,0.21,45.22,2.2,2,7.4,75.4
"Mali","Africa",90.7,162.2,307.8875,0.55,22,0.81,12.37,1.1,1,1.6,51.2
"China","Asia",9.8,12.5,86.4435,5.62,23.5,0.1,1363.24,3.8,3.2,7.5,75.3
"Malawi","Africa",45.6,70.7,325.5425,1.87,22.6,3.69,15.4,6.6,6.5,4.3,58.6
"Algeria","Africa",25.3,29.5,108.0665,0.37,24.9,0.02,34.73,6,5.9,6.7,74.3
"South Africa","Africa",48.4,75.7,494.388,7.32,26.4,11.87,46.72,13.5,16.1,8.8,53.7
"Colombia","South America",18.9,22.1,160.261,4.13,25.2,0.21,42.08,2.4,2.2,6.6,74
"Mexico","North America",18.8,22.1,122.558,5.2,27.2,0.16,107.56,1.8,1.7,8,75.3
"India","Asia",47.2,61.4,194.7545,2.46,21.3,0.11,1217.73,27,27.8,5.3,66.2
"Slovak Republic","European Union",7.3,8.8,144.053,10.23,25.6,0.01,5.37,1.5,1.6,10.4,73.6
"South Africa","Africa",30.1,39.3,384.094,7.21,27.1,7.97,53.69,5.4,6.5,9.9,61.1
"Libya","Africa",21.9,25.5,139.5715,0.012,27.1,0.06,5.62,5.6,5.4,6.1,71.5
"Uganda","Africa",40.6,58.8,316.5765,7.25,22.3,2.26,36.91,5.7,5.6,5.5,60.7
"Cambodia","Asia",52.8,64.7,221.5355,1.1,21.1,0.35,13.27,11.5,11.6,3.5,63.1
"Cabo Verde","Africa",24,28.6,139.353,4.25,23.7,0.38,0.46,8.7,8.7,4.2,70.2
"Armenia","Rest of Europe",25.7,29.1,143.7555,2.87,25.7,0.08,3.05,2.1,2.1,10.7,71.8
"Norway","Rest of Europe",3.7,4.6,78.9785,5.89,25.8,0.03,4.54,0.8,0.7,12.1,79
"Ukraine","Rest of Europe",13.6,15.8,262.4035,6.81,25.9,0.49,47.81,2.8,2.9,10.6,68.2
"Slovenia","European Union",2.2,2.7,69.2825,10.92,26.4,0.01,2.06,1.4,1.4,11.9,81.1
"Liberia","Africa",66,92.1,246.675,3.02,24,3.5,4.36,6.7,6.5,4.4,61.7
"Estonia","European Union",7.3,9.3,211.7,12.16,25.6,0.08,1.38,2.3,2.4,11.9,70.9
"India","Asia",60,81.1,213.299,1.17,20.9,0.19,1111.52,27.3,28.3,4.7,63.7
"Bhutan","Asia",38,47.8,234.5365,0.16,23.1,0.17,0.67,17.1,17.8,2.3,67.3
"Croatia","European Union",6.9,8,121.781,13.69,25.7,0.01,4.3,2,2,9.8,74.5
"Australia","Oceania",3.3,3.9,61.7325,9.68,27.1,0.04,23.82,0.6,0.6,12.8,82.4
"St. Vincent and the Grenadines","Central America and Caribbean",19.2,22.2,183.408,5.13,25.5,0.4,0.11,4,3.9,7.6,70.8
"Egypt, Arab Rep.","Africa",19.8,23.3,149.529,0.18,29.5,0.13,92.44,2.8,2.8,7.1,71.3
"Zambia","Africa",90.2,155.9,603.461,2.82,21.5,9.75,10.42,7.5,7.5,5.9,44
"Zambia","Africa",67.1,115.2,545.294,2.75,21.8,8.23,11.55,7.2,7.1,6.2,47.4
"Brazil","South America",17.5,19.5,157.279,6.95,25.7,0.25,193.89,3,2.9,6.8,73.3
"Belgium","European Union",4.3,5.2,93.89,11.28,25.6,0.08,10.38,0.8,0.8,10.4,78.1
"Mauritius","Africa",12.5,14.6,153.4275,2.8,24.9,1.04,1.25,7.3,7.3,8,72.9
"Hungary","European Union",7.6,9,184.567,13.28,26.1,0.08,10.16,2.2,2.2,10.3,72.3
"Moldova","Rest of Europe",18.3,21.5,232.9535,7.61,26.2,0.35,2.9,3.2,3.4,10.1,67.7
"Cote d'Ivoire","Africa",74.7,106.3,420.1715,1.12,23.5,1.24,20.53,6.3,6.2,4.2,53
"Denmark","European Union",4.2,5,90.2045,11.26,25.1,0.04,5.42,1.2,1,12.8,77.8
"Georgia","Rest of Europe",9.4,10.5,156.2355,6.95,27.5,0.14,3.73,2.7,2.8,12.7,73
"United Arab Emirates","Middle East",9.3,10.9,95.5935,1.62,27.2,0.13,3.3,5.3,5.1,8.4,74.5
"New Zealand","Oceania",6.1,7.4,85.7,8.83,26.7,0.02,3.86,0.3,0.3,11.6,78.6
"Barbados","Central America and Caribbean",14.2,15.4,112.486,8.07,27.1,0.49,0.28,3.9,3.9,9.3,78.1
"Lesotho","Africa",74,116.1,604.613,1.94,24.3,16.19,2,9.3,9.2,5.3,42.7
"United Kingdom","Rest of Europe",5.4,6.3,85.37,11.33,26.5,0.08,59.37,0.7,0.5,11.9,78.1
"Ghana","Africa",58,88.5,293.6475,1.91,22.9,1.48,20.75,8.6,8.5,6.3,57.8
"India","Asia",62.1,84.5,216.3545,1.08,20.8,0.22,1093.32,27.4,28.4,4.6,63.3
"Iceland","Rest of Europe",3.1,3.9,69.582,6.32,25.6,0.02,0.28,1,0.9,9.6,80.7
"Japan","Asia",3.1,4.3,71.4415,8.01,22.5,0.17,127.15,1.7,1.4,10.8,81.4
"Georgia","Rest of Europe",25.5,28.8,171.3125,2.79,26.1,0.05,3.95,2.9,3,12,70.3
"Ethiopia","Africa",47.3,69.6,234.3685,0.57,20.5,0.25,95.39,1.6,1.4,2.5,64
"North Macedonia","Rest of Europe",13.2,14.8,121.482,4.4,25.7,0.08,2.03,2.8,2.8,6.8,73.4
"Tunisia","Africa",17.9,21,103.28,1.32,25.6,0.03,10.2,6.3,6.3,5.9,74.4
"Montenegro","Rest of Europe",4.6,5.5,106.849,9.37,26.2,0.03,0.62,1.9,1.9,11.2,76.2
"St. Lucia","Central America and Caribbean",18.5,20.9,139.7475,8.93,29.4,0.4,0.18,4.3,4.3,8.4,75.3
"Liberia","Africa",90.7,129.6,306.9055,4.2,23.4,3.5,3.22,8.3,8.3,3.8,55.4
"Guatemala","Central America and Caribbean",27.6,33.4,173.86,2.05,26.1,0.05,14.52,1.2,1.2,5.3,71.9
"Fiji","Oceania",19.2,22.5,215.093,2.07,26.5,0.04,0.82,4.2,3.9,9.3,66.2
"Nigeria","Africa",92.3,150.1,392.374,11.18,22.8,0.95,142.54,12.6,12.6,5.2,48.8
"Namibia","Africa",37.9,50.5,354.013,2.37,23.9,5.38,2.19,9.5,9.4,6.4,59.4
"Cameroon","Africa",83.7,137.5,410.158,4.54,23.3,3.58,16.36,7.4,7.5,5.1,51.5
"Vanuatu","Oceania",24.3,29.1,144.4315,1.36,25.9,0.17,0.24,1.5,1.4,6.7,69.1
"Hungary","European Union",6.7,7.9,180.2155,13.28,26.2,0.08,10.11,2.1,2.1,10.6,72.6
"Guinea","Africa",89.5,144.9,333.165,0.18,22,1.22,8.75,9.7,9.7,1.5,51.9
"Cyprus","European Union",2.6,3.1,54.618,10.58,26.8,0.06,1.14,0.9,1,11.8,79.8
"Bosnia and Herzegovina","Rest of Europe",8.7,9.9,121.234,3.87,24.8,0.08,3.75,3.3,3.2,7,74.4
"Luxembourg","European Union",2.4,3,71.6035,11.99,26,0.09,0.49,0.9,0.9,11.7,80.5
"Bosnia and Herzegovina","Rest of Europe",7.2,8.3,106.9245,5.03,25.2,0.08,3.76,2.8,2.8,7.5,75.5
"Vanuatu","Oceania",24.3,29.1,135.872,1.61,26,0.17,0.26,1.5,1.4,6.8,69.6
"Seychelles","Africa",12.6,14.7,152.1215,8.44,26.6,3.5,0.09,5.7,6,9.4,73.2
"Bahamas, The","Central America and Caribbean",12,14,158.589,9.27,27.9,0.34,0.37,2.5,2.5,11.1,73.1
"Trinidad and Tobago","Central America and Caribbean",24.5,27.7,191.866,4.7,26,0.4,1.27,6.6,7.1,9.3,69.7
"Suriname","South America",18.2,20.3,170.129,4.75,26.5,0.47,0.56,3.5,3.5,8.4,71.2
"Luxembourg","European Union",2.3,2.8,54.393,11.37,26.3,0.1,0.57,1,0.9,12,82.3
"Comoros","Africa",60.5,82,239.043,0.11,23.9,0.02,0.71,7,6.8,4.4,62.2
"Russian Federation","Rest of Europe",12.9,16.1,323.8525,11.32,25.9,0.08,144.65,2.6,2.8,11.4,65
"Finland","European Union",2.8,3.5,95.089,10.45,25.9,0.08,5.29,0.9,0.8,12,79.3
"Portugal","European Union",3.1,3.8,86.146,11.26,25.8,0.16,10.57,0.7,0.5,8.1,79
"Jordan","Middle East",19.7,23.2,122.7175,0.51,28.2,0.13,5.77,3.9,3.8,9.7,72.6
"Kazakhstan","Asia",20,22.5,247.1405,3.16,26,0.11,16.09,2.3,2.5,11.5,68.4
"Equatorial Guinea","Africa",69.9,96.8,327.5505,8.64,23.9,4.04,1.12,8.5,8.4,5.5,57
"Lithuania","European Union",4.2,5.2,179.772,14.97,26.4,0.09,2.99,2.7,2.7,11.7,73.9
"Gambia, The","Africa",43.2,67.7,270,2.74,23.6,1.08,1.91,7.8,7.7,3.1,60.2
"Iceland","Rest of Europe",2.2,2.8,56.594,7.24,26,0.05,0.32,0.9,0.9,10.5,81.8
"Antigua and Barbuda","Central America and Caribbean",7.1,8.5,132.9015,9.43,26.4,0.2,0.09,3.3,3.3,9.2,76.2
"Egypt, Arab Rep.","Africa",20.5,24.3,151.4815,0.19,29.3,0.13,90.42,2.8,2.8,7,71.1
"United States","North America",6.5,7.6,107.758,8.74,28.4,0.13,304.09,0.7,0.6,13.2,78
"Libya","Africa",11.4,13.3,134.7895,0.01,28,0.08,6.42,5.8,5.5,7.3,72.1
"Romania","European Union",9.5,11.2,135.6795,9.66,26.3,0.04,20.06,2.8,3,10.9,74.4
"Lebanon","Middle East",9.8,11.4,71.4135,1.57,27,0.03,4.76,4.7,4.7,7.8,77.9
"Congo, Rep.","Africa",53.1,79.8,359.3415,1.3,22.5,2.15,3.75,8.7,8.3,5.9,56.6
"Sweden","European Union",3,3.6,65.34,6.53,25.5,0.08,9.03,1.3,1.3,12.4,80.5
"Niger","Africa",61.9,121.9,267.262,0.11,21.5,0.08,16.46,1.7,1.6,1.4,57.3
"Nicaragua","Central America and Caribbean",21.1,24.9,163.375,3.32,26.6,0.12,5.75,1.9,1.8,5.9,72.2
"Denmark","European Union",4.7,5.7,102.388,11.68,24.9,0.04,5.34,1.3,1,10.7,76.6
"Ghana","Africa",56.4,85.6,286.594,0.55,23.1,1.39,21.27,8.4,8.3,6.4,58.2
"Libya","Africa",18.6,21.7,133.113,0.011,27.3,0.08,5.89,5.5,5.4,6.6,72.1
"Timor-Leste","Oceania",76.8,96.5,249.406,0.48,20,0.04,0.92,12.1,12.1,2.9,60.9
"Israel","Middle East",4.1,5.1,65.745,2.46,26.7,0.08,7.18,1.1,1.1,12.5,80.5
"Peru","South America",13.3,17.1,127.208,5.27,26.3,0.12,29.77,1.1,1.1,8.8,75.3
"Trinidad and Tobago","Central America and Caribbean",23,25.9,186.471,5.75,26.5,0.4,1.3,6.3,6.7,10,70.7
